name,price,links,society,area,propertyType,bedRooms,bathRooms,additionalRooms,address,floorNum,balcony,facing,agePossesion,nearbyLocation,description,furnishDetails,features,propertyId
"6 Bedroom House in Sector 46, Gurgaon",3.85,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-46-gurgaon-835-sq-ft-spid-X80201407,"  sector 46, gurgaon",940.0,house,6.0,6.0,pooja room,"  sector 46, gurgaon",3.0,3+,east,1 to 5 Year Old,"['Raheja Mall', 'Axis bank ATM', 'State bank of india ATM', 'Standard chartered ATM', 'Icici bank ATM', 'Sukhmani Hospital Pvt. Ltd', 'Dispencery', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Meher Clinic', 'Medanta', 'Park Hospital Gurgaon', 'Vishesh Dental', 'Bones Clinic - Orthopaedics', 'Neelkanth Health Care', 'Best Urologist Atcomplete Family Clinic', 'Samvit Health Care', 'Wellness Eye Centre', 'Dr. Aruna Kalra', 'Dr. Naresh Pandita', 'Dr. Anuj Sharma', 'Wembley estate club', 'Pernod Ricard Charitable Dispensary', 'Gardian Pharmacy', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Genius', 'India Oil', 'Hdfc bank', 'Hdfc bank', 'SRS Cinemas', 'Raj Restaurant', 'Haldiram', 'KFC', 'Om Sweets', 'Fast food', 'Fast Food', 'Bar and restaurant', 'Madison and Pike', 'Manav Rachna School', 'Amity Global School', 'Delhi Public School Primary Section', 'St. Angels Sr', 'Gurugram University', 'St. Angels Jr', 'CR Model Public School', 'Kamla International', 'School of Inspired Leadership SOIL', 'McKinsey & Company', 'Dawnbit', 'Manav Rachna Swimming Pool']","Address: Close To Market, Sector 46, Gurgaon Check out this 6 bhk house stilt +3 for sale in sector 46 gurgaon, a popular residential locality that contains many of the in-Demand properties in gurgaon. Constructed on a super built-Up area of 940 sq.Ft., this house comprises 6 bedrooms, 6 bathrooms and more than 3 balconies. There are 3 covered...  & 2 open parking available with this house. As the property is already ready to move, so you can easily move into this 1-5 years old house. This house is owned under freehold contract. This independent house is available at an attractive price of 3.85 crore.More >>","['6 Wardrobe', '8 Fan', '1 Exhaust Fan', '6 Geyser', '1 Stove', '15 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",X80201407
"6 Bedroom House in DLF Phase 4, Gurgaon",11.0,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-plots-phase-4-dlf-phase-4-gurgaon-3762-sq-ft-r1-spid-Z76174477,"  dlf city plots phase 4, dlf phase 4, gurgaon",418.0,house,6.0,4.0,"pooja room,study room,others,servant room","  dlf city plots phase 4, dlf phase 4, gurgaon",3.0,3,south-east,1 to 5 Year Old,"['Dlf phase 1 metro station', 'Huda city centre metro station', 'Iffco chowk metro station', 'Sector 42-43 metro station', 'The shopping mall', 'New Life Church', 'Hanuman Mandir', 'Kotak mahindra bank ATM', 'Standard chartered ATM', 'Rbs ATM', 'Sitaram Bhartia', 'Max Hospital', 'Dr. Kutbuddin Akbary', 'Sidhesh Hospital Gurgaon', 'Marwah Clinic', 'Umkal Hospital', 'Dr. Naval Mendiratta', 'Gupta', 'Lord Krishna Hospital', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Divine Look Clinic Centre 1', 'Chikitsa', 'Guardian Pharmacy', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Indusind bank', 'Abn amro bank', 'Lord krishna bank', 'DT Cinemas', 'Blue Tokai Coffee Roasters', 'Starbucks', 'Nowhere Brewpub and cafe', 'Fat', 'Dighent cafe', 'Drunken Monkey', 'Belgian Waffle', 'CCD', 'The Chicken Boat', 'Naveidyam', 'Balaji Vegetarian Paradise', 'Pizza Hut', 'Barbecue Grill', 'PWO house', 'Food Court', 'Stones2milestones', 'PK Online', 'Mantis Eye LLP', 'Bahrisons library', 'Ncr library']","Address: 001, DLF Phase 4, Gurgaon 5 bedroom duplex villas in dlf phase 4 
Very good location and very prime location ","['7 Wardrobe', '5 Fan', '1 Exhaust Fan', '5 Geyser', '4 Light', '6 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage']",Z76174477
"4 Bedroom House in V Block DLF Phase 3, Gurgaon",16.5,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-v-block-dlf-phase-3-gurgaon-4518-sq-ft-spid-J79800581,"  v block dlf phase 3, gurgaon",502.0,house,4.0,4.0,"pooja room,store room,study room,servant room","  v block dlf phase 3, gurgaon",3.0,3+,,1 to 5 Year Old,"['Guru dronacharya metro station', 'Dlf phase 3 metro station', 'Micromax moulsari avenue metro station', 'Dlf phase 2 metro station', 'Indusind bank cyber city metro station', 'Sikandarpur rmrg metro station', 'Ambience Mall', 'Shri Shiv Shakthi Mandir', 'Icici bank ATM', 'Central bank ATM', 'Central bank atm teste 001112', 'Abn amro bank ATM', 'Citibank ATM', 'Kotak mahindra ATM', 'Citibank ATM', 'Dental Cure and Care Centre', 'Garg Dental Care', ""Dr. Khullar's Dental Clinic"", 'Shri Ram Memorial Hospital', 'R.N Clinic', ""St Stephen's Hospital Health Care Facility"", 'Dental Harbour', 'Anahat Hospital', 'Upkar Clinic', 'Asha Multispeciality Clinic', 'Relief Physiotherapy Clinic', 'Darpan Skin & Mind Clinic', 'Krishna Family Clinic', 'Cosmodentz Dental Clinic', 'RBS Dental Clinic', 'Kailash Nursing Home Gurgaon', 'Durga Poly Clinic', 'Pharmacy', 'Shri Balaji Medical Store', 'Emaar Business Park', 'State bank of india', 'Icici bank', 'Deutsche bank', 'Standard chartered bank', 'PVR Cinames', 'Machaan', 'The God Father', 'Food Court', 'Mc Donalds', 'barrique', ""McDonald's"", 'M2M Cybernetics', 'Microsoft', 'Bain & Company', 'Boston Consulting Group']","Address:  V Block DLF Phase 3, Gurgaon Beautiful kothi for sale ion a prime location 
Basement + ground floor + 1st floor + 2nd floor + terrace 
3bhk with attach washroom 
Plot size = 502 sqyards 
Asking = 16.5 cr ","['8 Wardrobe', '20 Fan', '1 Sofa', '1 Exhaust Fan', '10 Geyser', '1 Washing Machine', '1 Stove', '20 Light', '10 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No TV', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting']",J79800581
"12 Bedroom House in Sector 45, Gurgaon",8.3,https://www.99acres.com/12-bhk-bedroom-independent-house-villa-for-sale-in-sector-45-gurgaon-1630-sq-ft-spid-D79746493,"  sector 45, gurgaon",1859.0,house,12.0,12.0,"pooja room,study room","  sector 45, gurgaon",4.0,3+,east,0 to 1 Year Old,"['Huda city centre metro station', 'Axis bank ATM', 'State bank of india ATM', 'Standard chartered ATM', 'Hdfc bank ATM', 'Icici ATM', 'Citi bank ATM', 'Axis bank ATM', 'Hdfc ATM', 'Hdfc ATM', 'Icici bank ATM', 'Axis bank ATM', 'Dispencery', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Dr. Naval Mendiratta', 'Arihant Hospital', 'Gupta', 'Shivam Hospital Gurgaon', 'Sukhmani Hospital Pvt. Ltd', 'Dr. Kutbuddin Akbary', 'Paras Hospital Gurgaon', 'Centre For Sight Gurgaon Sector 29', 'Pernod Ricard Charitable Dispensary', 'City Medical', 'Gardian Pharmacy', 'Gardian Pharmacy', 'Bharat petroleum', 'Hdfc bank', 'Hdfc bank', 'Icici bank', 'Raj Restaurant', 'PWO house', 'Fast food', 'Fast Food', 'Bar and restaurant', 'Om Sweets', 'Balaji Vegetarian Paradise', 'St. Angels Jr', 'St. Angels Sr', 'School of Inspired Leadership SOIL', 'Manav Rachna School', 'Amity Global School', 'Stones2milestones', 'CR Model Public School', 'Delhi Public School Primary Section', 'Gurugram University', 'Dawnbit', 'Mantis Eye LLP', 'Manav Rachna Swimming Pool', 'Ncr library']","Address: Close To Market And ( Park ), Sector 45, Gurgaon Planning to buy an individual park facing stilt+4 house in gurgaon. Then you should definitely check out this 12 bhk house for sale in sector 45 gurgaon, a well-Planned and well-Connected locality in gurgaon. The property's proximity to landmarks like close to metro station, close to school, close t... o hospital and close to market makes it ideal property for families. Constructed on a super built up area of 1859 sq.Ft., this house comprises 12 bedrooms, 12 bathrooms and more than 3 balconies. This 12 bhk house comes attached with 6 covered and 3 open parking for your vehicle(s). Another added advantage of this 0-1 year old house is that it is available for immediate possession. The type of ownership of this property is freehold. This independent house is available at an attractive price of 8.3 crore. The independent house is designed very well and will provide modern facilities such as maintenance staff, visitor parking, park, fitness centre / gym, swimming pool, security personnel and club house / community center. The housing society ensures a continuous supply of water to your house from borewell/tank. This residential house is in an east-Facing direction. The well built stone flooring enhances the aesthetic appeal of this independent house. The stone flooring of this independent house is beautifully designed and helps to give it a pleasing look.More >>","['1 Water Purifier', '25 Fan', '1 Exhaust Fan', '14 Geyser', '1 Stove', '20 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '12 Wardrobe', '1 Washing Machine', '1 Microwave', 'No AC', 'No Bed', 'No Dining Table', 'No Fridge', 'No Sofa', 'No TV']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",D79746493
"5 Bedroom House in Sector 86, Gurgaon",4.69,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-dlf-new-town-heights-2-sector-86-gurgaon-3200-sq-ft-spid-E79099075,"  dlf new town heights 2, sector 86, gurgaon",3200.0,house,5.0,5.0,"pooja room,study room,servant room,store room","  dlf new town heights 2, sector 86, gurgaon",2.0,3,,1 to 5 Year Old,"['City Square', 'Vatika Town Square', 'Bharat Ram Global School', 'Shishu Kalyan School', 'DSD College', 'Amity University', 'ICFAI University', 'Canara Bank ATM', 'Axis Bank ATM', 'Arc Hospital', 'Rathore IMT Hospital', 'Indira Gandhi Airport', 'Yes Bank', 'Canara Bank', 'Patil Station']","Address:  Sector 86, Gurgaon Dlf new town heights 2 in sector 86, gurgaon, offers a contemporary urban lifestyle in the heart of the city. With its spacious and well-Designed homes, lush green surroundings, and a range of modern amenities, it's the perfect place to call home. Whether you're looking for a peaceful retreat or a v... ibrant community, dlf new town heights 2 has it all. Enjoy the convenience of being close to schools, hospitals, shopping centers, and more. Experience the best of city living in a serene and secure environment at dlf new town heights 2.Highlights
Awarded 'gold' pre-Certification by igbc.
Energy efficient homes with green features.
Security based project.
9 hole golf course facing project.Menities
Parking parking
Swimming pool swimming pool
Club house club house
Gym gym
Kids play area kids play area
Rain water harvesting rain water harvesting
Tennis court tennis court
Video security video security
24x7 security 24x7 security
Landscaped gardens landscaped gardenslocation
Rapid metro station at dlf just 3 minutes away.
Paras hospital in proximity just 5 minutes away.
Fortis hospital in vicinity 5 minutes away.
Lancers international school 5 minutes away.
National highway 8 10 minutes connectivity.More >>","['1 Water Purifier', '5 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '4 Geyser', '1 Stove', '7 Light', '6 AC', '2 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Bed', '4 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",E79099075
"11 Bedroom House in A Block Sushant Lok Phase 1, Gurgaon",25.0,https://www.99acres.com/11-bhk-bedroom-independent-house-villa-for-sale-in-a-block-sushant-lok-phase-1-gurgaon-7317-sq-ft-spid-U80454185,"  a block sushant lok phase 1, gurgaon",813.0,house,11.0,11.0,servant room,"  a block sushant lok phase 1, gurgaon",3.0,3+,north-east,10+ Year Old,"['Iffco chowk metro station', 'Mg road metro station', 'Gurgaon Central Mall', 'MGF Metropolitan', 'Icici bank ATM', 'Standard chartered ATM', 'Kotak mahindra bank ATM', 'Punjab national bank ATM', 'Umkal Hospital', 'Sitaram Bhartia', 'Sidhesh Hospital Gurgaon', 'Max Hospital', 'Privat Hospital', 'Dr. Kutbuddin Akbary', 'Axis bank', 'Indusind bank', 'Abn amro bank', 'Lord krishna bank', 'DT Cinemas', 'PVR Metropolitan', 'DT Cinemas', 'PVR Cinames', 'Pizza Hut', 'Barbecue Grill', 'CCD', 'Drunken Monkey', 'Belgian Waffle', 'Roots', 'Starbucks', 'Naveidyam', 'Blue Tokai Coffee Roasters', 'Dighent cafe', 'Fat', 'Nowhere Brewpub and cafe', 'The Chicken Boat', 'MoB Ministory of Beer', 'Park Baluchi', 'NutrioBox Gurugram', 'Pan Bangkok', 'Bikanervala', 'Beer & Whisky Bar', 'Balaji Vegetarian Paradise', 'Gravity Space Bar', 'Black Mambaa', 'KFC', 'Gola Sizzles', 'The Oriental Bloom Chinese and Thai', 'Zura', 'Bahrisons library', 'Ncr library']","Address:  A Block Sushant Lok Phase 1, Gurgaon Independent kothi in sushant lok phase 1Location: Sushant lok phase 1, gurgaon, haryana, indiaPlot area: 813 sqydAge: 15 years oldCondition: The kothi is in a liveable condition, despite its age. It has been well-Maintained and is ready for immediate occupancy.Proximity to market: Just a f... ew minutes away from the local market, providing easy access to daily necessities, shopping, and dining options.

Nearby metro station: The property is conveniently located near the mg road metro station, which lies on the yellow line of the delhi metro. This station is surrounded by prominent malls like dlf city centre and mgf metropolitan, and is close to residential complexes such as beverley park, essel towers, and heritage city.

Features:

Bedrooms: Multiple spacious bedrooms with attached bathrooms.

Living area: A large living room perfect for family gatherings and entertaining guests.

Kitchen: A functional kitchen equipped with essential appliances.

Balcony: Private balconies offering scenic views of the surroundings.

Parking: Dedicated parking space for residents.

Security: 24/7 security with cctv surveillance.

Amenities: Access to nearby parks, schools, hospitals, and other essential services.More >>","['11 Fan', '1 Exhaust Fan', '10 Geyser', '10 Light', '1 Modular Kitchen', '1 Chimney', '11 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Centrally Air Conditioned', 'Maintenance Staff', 'Bank Attached Property', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Rain Water Harvesting']",U80454185
"4 Bedroom House in DLF Phase 2, Gurgaon",13.5,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-2-gurgaon-3393-sq-ft-spid-N80331409,"  dlf phase 2, gurgaon",377.0,house,4.0,5.0,servant room,"  dlf phase 2, gurgaon",3.0,3,north-west,5 to 10 Year Old,"['Vodafone belvedere towers metro station', 'Dlf phase 2 metro station', 'Dlf phase 3 metro station', 'Sikandarpur metro station', 'Sikanderpur metro station', 'Sikandarpur rmrg metro station', 'Shri Shiv Shakthi Mandir', 'Central bank atm teste 001112', 'Central bank ATM', 'Kotak mahindra ATM', 'Citibank ATM', 'Abn amro bank ATM', 'Axis bank ATM', 'Surgi Center Clinic', 'Kailash Nursing Home Gurgaon', 'Cosmodentz Dental Clinic', 'Uma Sanjeevani Health Centre And Hospital', 'RBS Dental Clinic', 'Durga Poly Clinic', 'Relief Physiotherapy Clinic', 'Krishna Family Clinic', 'Darpan Skin & Mind Clinic', 'Upkar Clinic', 'Guardian', '98.4', 'Religare Wellness', 'Shri Balaji Medical Store', 'DLF Cyber City Phase II', 'Emaar Business Park', 'Standard chartered bank', 'Hsbc bank', 'Kotak mahindra bank', 'Icici bank', 'Axis bank', 'Deutsche bank', 'Hdfc bank', 'Lord krishna bank', 'PVR Cinames', 'Mukesh Dhaba', 'Mc Donalds', 'Food Court', ""McDonald's"", 'The God Father', 'American Montessori', 'Microsoft', 'CEVA Logistics India', 'Boston Consulting Group', 'KPMG', 'Bain & Company', 'Taikisha Engineering PVT']","Address:  DLF Phase 2, Gurgaon Kothi for sale in dlf phase 2, gurgaon:
 Plot area: 377 sqyd
 Facing: North-West
 Location: On a 12m road
 Features:
O ready to move
O semi-Furnished
O close to metro station, market, and other amenities2
This property offers a prime location with modern amenities and is ideal for those looking for ... a luxurious lifestyle. If you need more specific details or have any other questionsMore >>","['6 Fan', '1 Exhaust Fan', '5 Geyser', '7 Light', '7 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Rain Water Harvesting']",N80331409
"5 Bedroom House in Sector 50, Gurgaon",22.0,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-ss-hibiscus-sector-50-gurgaon-4500-sq-ft-spid-N80311845,"  ss hibiscus, sector 50, gurgaon",500.0,house,5.0,6.0,servant room,"  ss hibiscus, sector 50, gurgaon",3.0,3+,north-east,5 to 10 Year Old,"['Baani Square', 'SS Plaza', 'Good Earth City Centre', 'Nirvana Courtyard', 'Sapphire Mall', 'Gems Modern School', 'HDFC School', 'C K Birla Hospital', 'Cloudnine Hospital', 'Park Hospital', 'Artemis Hospital', 'Medanta Medicity', 'Unitech Cyber City', 'Horizon One', 'IPSA Day Care']","Address: 1233, Sector 50, Gurgaon Ss group hibiscus in sector 50, gurugram, is a luxurious residential project offering a range of high-End apartments, penthouses, and villas. Here are some key details:
 Location: Nirvana marg, nirvana sector 50, gurugram, haryana 122018 Amenities: Swimming pool, gymnasium, clubhouse, children's...  play area, terrace garden, park, banquet hall, gazebo, badminton court.

 Construction status: Ready to move since april 2013.

 Nearby landmarks: C k birla hospital, ipsa day care, baani square, cloudnine hospital, ss plaza, good earth city centre, park hospital, gems modern school, nirvana courtyard, hdfc school, sapphire mall, artemis hospital, medanta medicity, unitech cyber city, horizon one.More >>","['5 Fan', '1 Exhaust Fan', '6 Geyser', '5 Light', '1 Modular Kitchen', '1 Chimney', '6 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",N80311845
"6 Bedroom House in Sector 45, Gurgaon",9.25,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-45-gurgaon-1836-sq-ft-spid-O80269587,"  sector 45, gurgaon",204.0,house,6.0,6.0,"pooja room,study room,servant room,store room","  sector 45, gurgaon",3.0,3,east,1 to 5 Year Old,[],"Address:  Sector 45, Gurgaon No time pass, no brokers, only direct buyers should contact with me. ","['1 Water Purifier', '14 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Stove', '25 Light', '16 AC', '3 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '7 Bed', '6 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No Geyser']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",O80269587
"9 Bedroom House in DLF Phase 2, Gurgaon",10.35,https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-plots-phase-2-dlf-phase-2-gurgaon-2259-sq-ft-r1-spid-R78576407,"  dlf city plots phase 2, dlf phase 2, gurgaon",251.0,house,9.0,9.0,"pooja room,study room,servant room,store room","  dlf city plots phase 2, dlf phase 2, gurgaon",3.0,3+,south,10+ Year Old,"['Sahara Mall', 'Delhi Public School', 'Privat Hospital']","Address: N Block, DLF Phase 2, Gurgaon 251sq yard independent house in dlf city phase-2 near m.G metro station bmt gf ff sf 3 story building 3bhk each floor south facing modeler kitchen wood work complete corner house 2.Side open 12.Mtr road good location for more details please contact me. ","['1 Water Purifier', '11 Fan', '1 Exhaust Fan', '10 Geyser', '28 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",R78576407
"5 Bedroom House in Palam Vihar, Gurgaon",3.85,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-ansals-palam-vihar-palam-vihar-gurgaon-1557-sq-ft-spid-C79842675,"  ansals palam vihar, palam vihar, gurgaon",173.0,house,5.0,5.0,pooja room,"  ansals palam vihar, palam vihar, gurgaon",3.0,3+,north-east,5 to 10 Year Old,"['Palam Vihar Vyapar kendra', 'Palam triangle', 'HUDA Sector 23 Market', 'Ram Mandir', 'Metro Hospital and Heart Institute Gurgaon', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Kalyan Hospital Gurgaon', 'Ansals plaza underground car parking', 'Ansals Plaza above ground car parking', 'HUDA sector 23 parking', 'Axis bank', 'Punjab national bank', 'Oriental bank of commerce', 'Big Cinemas', 'Cafe Coffee Day', 'Pizza Hut', ""Domino's Pizza"", 'Moti Mahal', 'Pind Baluchi', ""McDonald's"", 'Om Sweets', 'Chiranjiv Bharati School', 'Masti ki Pathshala Teach India', 'Swiss Cottage school', 'THE NORTHCAP UNIVERSITY', 'Palam vihar railway station', 'Bijwasan railway station']","Address:  Palam Vihar, Gurgaon This 5 bhk house for sale in palam vihar is an ideal abode for a family. Even better, it is situated in one of the prominent localities of gurgaon. The floor plan additionally contains 5 bedrooms, 5 bathrooms and more than 3 balconies. All in all, the independent house is spread over a super built u... p area of 173 sq.Yards. The owner of the house also gets 1 covered and 1 open parking slot(s) to park their car safely. This 5-10 years old property is available for immediate possession as the house is ready to move. It is a freehold property. This independent house is available at an attractive price of 3.85 crore. All the modern amenities such as park and visitor parking will make life easier for you. Municipal corporation provides a regular supply of water to this residential house. The residential house is north-East-Facing. The floor of this independent house is beautifully designed using marble flooring, giving it an alluring look.More >>","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'False Ceiling Lighting', 'No open drainage around', 'Park', 'Piped-gas', 'Visitor Parking', 'Internet/wi-fi connectivity', 'Waste Disposal']",,C79842675
"3 Bedroom House in Sector-35 Sohna, Gurgaon",1.45,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-lion-infra-green-valley-sector-35-sohna-gurgaon-1350-sq-ft-spid-B80184719,"  lion infra green valley, sector-35 sohna, gurgaon",150.0,house,3.0,3.0,not available,"  lion infra green valley, sector-35 sohna, gurgaon",4.0,2,east,1 to 5 Year Old,[],"Address:  Sector-35 Sohna, Gurgaon Are you planning to buy your dream home? You can consider this well-Built 3 bhk house for sale in sector-35 sohna, gurgaon and make it your new address. Another plus point for the house is that it is situated near close to school. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 2 ba... lconies. All in all, the independent house is spread over a super built up area of 150 sq.Yards. This 3 bhk house comes attached with 1 covered parking for your vehicle(s). This 1-5 years old property is available for immediate possession as the house is ready to move. It is a freehold property. The price of this spacious independent house is  1.45 crore. Many of the modern amenities being offered, like maintenance staff, visitor parking, park, fitness centre / gym, club house / community center and security personnel, will provide a pleasant living experience for you. The house provides continuous water supply from municipal corporation and borewell/tank. This is a east-Facing property. The house comes well built with marble flooring options.More >>","['3 Wardrobe', '5 Fan', '4 Geyser', '1 Microwave', '1 Stove', '21 Light', '1 Chimney', '1 Modular Kitchen', '4 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",B80184719
