society,price,sector,pricePerSqft,propertyType,area,bedRooms,bathRooms,additionalRooms,address,floorNum,facing,agePossesion,nearbyLocation,furnishDetails,features,balcony
"  sushant lok phase 1, gurgaon",8.0,sector 43,,house,215.0,5.0,6.0,"pooja room,servant room","  sushant lok phase 1, gurgaon",2.0,north-east,1 to 5 Year Old,"['Huda city centre metro station', 'Sector 42-43 metro station', 'Hanuman Mandir', 'New Life Church', 'Hdfc ATM', 'Rbs ATM', 'Hdfc bank ATM', 'Standard chartered ATM', 'Kotak mahindra bank ATM', 'Standard chartered ATM', 'Gupta', 'Paras Hospital Gurgaon', 'Arihant Hospital', 'Dr. Naval Mendiratta', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Dr. Kutbuddin Akbary', 'Max Hospital', 'Sitaram Bhartia', 'Guardian Pharmacy', 'Chikitsa', 'Bharat petroleum', 'Icici bank', 'Hdfc bank', 'Axis bank', 'PWO house', 'Balaji Vegetarian Paradise', 'The Chicken Boat', 'Naveidyam', 'Starbucks', 'Blue Tokai Coffee Roasters', 'CCD', 'Drunken Monkey', 'Belgian Waffle', 'Fat', 'Dighent cafe', 'Nowhere Brewpub and cafe', 'Sagar Ratna', 'Cafe Tonini', 'Shophouse by Kylin', ""Carl's Jr."", 'Starbucks', 'Pizza Hut', 'Stones2milestones', 'School of Inspired Leadership SOIL', 'Mantis Eye LLP', 'PK Online', 'Dawnbit', 'Two Horizon Center', 'Ncr library', 'Bahrisons library']","['9 Wardrobe', '7 Fan', '1 Exhaust Fan', '7 Geyser', '1 Stove', '25 Light', '5 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",2
"  dlf phase 1, gurgaon",11.0,sector 26,,house,300.0,5.0,7.0,"study room,pooja room,store room,servant room","  dlf phase 1, gurgaon",3.0,north-east,5 to 10 Year Old,"['Guru dronacharya metro station', 'Dlf phase 1 metro station', 'Sikandarpur rmrg metro station', 'Sikanderpur metro station', 'Sikandarpur metro station', 'Dlf phase 2 metro station', 'The shopping mall', 'Hanuman Mandir', 'Icici bank ATM', 'Axis bank ATM', 'Central bank ATM', 'Central bank atm teste 001112', 'Sikka Maternity And Surgical Center', 'Anahat Hospital', 'Divine Look Clinic Centre 1', 'The Dental Lounge', ""St Stephen's Hospital Health Care Facility"", 'Marwah Clinic', 'Durga Poly Clinic', 'Krishna Family Clinic', 'Upkar Clinic', 'Surgi Center Clinic', 'Lord Krishna Hospital', 'Uma Sanjeevani Health Centre And Hospital', 'Cosmodentz Dental Clinic', 'Kailash Nursing Home Gurgaon', ""Dr. Khullar's Dental Clinic"", 'Relief Physiotherapy Clinic', 'RBS Dental Clinic', 'Sidhesh Hospital Gurgaon', 'Shri Ram Memorial Hospital', 'R.N Clinic', 'Dental Cure and Care Centre', 'Religare Wellness', '98.4', 'Guardian', 'Emaar Business Park', 'Axis bank', 'Hsbc bank', 'Kotak mahindra bank', 'Hdfc bank', 'Lord krishna bank', 'Indusind bank', 'Abn amro bank', 'PVR Cinames', 'Food Court', 'Nowhere Brewpub and cafe', 'M2M Cybernetics', 'Microsoft', 'PK Online']","['9 Wardrobe', '19 Fan', '1 Exhaust Fan', '7 Geyser', '1 Stove', '25 Light', '9 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'Centrally Air Conditioned', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']",3
  tarc maceo,1.93,sector 91,10365.2,flat,1862.0,3.0,3.0,not available,"TARC Maceo Sector 91, Gurgaon",6.0,north-east,1 to 5 Year Old,"['Manish Gallexie 91', 'Dwarka Expressway', 'Rao Bharat Singh International School', 'Dronacharya College of Engineering', 'Silver Streak Multi Speciality Hospital', 'Indira Gandhi International Airport', 'IMT Manesar', 'Holiday Inn Sector 90', 'Manesar Golf Course', 'National Tennis Academy']","['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '3 Geyser', '8 Light', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",
  adani m2k oyster grande,2.55,sector 102,13499.21,flat,1889.0,3.0,3.0,servant room,"Adani M2K Oyster Grande Sector 102, Gurgaon",21.0,north-east,1 to 5 Year Old,"['The Esplanade Mall', 'Dwarka Express Highway', 'Delhi Public School', 'SGT University', 'The Signature Hospital', 'Indira Gandhi Airport', 'Gurugram Railway Station', 'Nehru Stadium']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",,
  vipul lavanya,1.05,sector 81,8400.0,flat,1250.0,2.0,2.0,others,"Vipul Lavanya Sector 81, Gurgaon",10.0,east,5 to 10 Year Old,"['Millennium City Centre Gurugram', 'Town Square 2', 'Manesar Road', 'Sh. S. N. Sidheshwar Sr. Sec. Public', 'Singhania University', 'Fortis Hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'Unitech Business Park', 'Kaara', 'AapnoGhar', 'Manesar Golf Course', 'Nakhrola Stadium']","['3 Fan', '4 Light', '1 Modular Kitchen', '1 Curtains', '1 Chimney', 'No AC', 'No Bed', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']",
  emaar mgf the enclave,2.85,sector 66,,flat,,3.0,4.0,not available,"Emaar MGF The Enclave Sector 66, Gurgaon",11.0,na,5 to 10 Year Old,"['Emaar Colonnade', 'M3M Cosmopolitan', 'Elan Empire Mall', 'Airia Mall', 'Sector 49, Gurugram', ""Mother's Pride Gurugram Sector 49"", 'Axis Bank ATM, Ireo Skyon', 'CK Birla Hospital', 'Union Bank of India Badshahpur', 'ICICI Bank Universal Business Park', 'HDFC Bank, Sector 66', 'Kotak Mahindra Bank, Sector 67', 'HDFC Bank, M3M, Golf Course Road', 'Apollo pharmacy,  Sector 66', 'Advance India Projects']","['5 Fan', '3 Geyser', '6 Light', '1 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']",
  dlf new town heights 1,2.35,sector 90,9940.78,flat,2364.0,4.0,4.0,"servant room,store room","DLF New Town Heights 1 Sector 90, Gurgaon",8.0,north,5 to 10 Year Old,"['Manish Gallexie 91', 'NH-8 IMT Manesar', 'RHM Public School', 'Silver Streak Multi Speciality Hospital', 'Airport', 'Holiday Inn Gurugram']","['Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,
  shapoorji pallonji joyville gurugram,1.85,sector 102,15226.34,flat,1215.0,2.0,2.0,not available,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",6.0,north-east,1 to 5 Year Old,"['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Dwarka Expressway', 'Euro International School', 'The NorthCap University', 'Vibrant Hospital', 'Indira Gandhi International Airport', 'Basai Dhankot Railway Station', 'Hyatt Place Gurgaon Udyog Vihar']","['5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",
"  independent floor at dlf city, v block dlf phase 3, gurgaon",5.31,sector 23,,house,1467.0,4.0,5.0,servant room,"  independent floor at dlf city, v block dlf phase 3, gurgaon",2.0,east,1 to 5 Year Old,"['Phase 1, Chakkarpur Metro Station', 'Mega Mall', 'Golf Course Road', 'NH 148A', 'Summer Fields School Gurugram', 'Sushant University', 'Paras Hospitals, Gurgaon', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'DLF Corporate Park', 'Hotel Thirtysix International', 'Le Méridien Gurgaon', 'Fun N Food Water Park, New Delhi', 'DLF Golf and Country Club', 'Tau DeviLal Sports Complex']","['5 Wardrobe', '1 Water Purifier', '6 Fan', '1 Exhaust Fan', '5 Geyser', '14 Light', '1 Modular Kitchen', '1 Curtains', '1 Chimney', '5 AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",3
  ats triumph,3.8,sector 104,12063.49,flat,3150.0,4.0,4.0,"servant room,study room","ATS Triumph Sector 104, Gurgaon",8.0,east,1 to 5 Year Old,"['IFFCO Chowk Metro Station', 'The Esplanade Mall', 'Dhanwapur Road', 'Dwarka Expressway', 'Govt. PG College', 'Delhi Public School', 'The NorthCap University', 'Shree Krishna Hospital', 'Indira Gandhi International Airport', 'Basai Dhankot', 'The Executive Centre', 'Park Inn', ""Oyster's Water Park"", 'DLF Golf and Country Club']","['1 Water Purifier', '7 Fan', '1 Exhaust Fan', '4 Geyser', '12 Light', '4 AC', '1 Curtains', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",
