propertName,links,rating,society,price,area,areaWithType,bedRooms,bathRooms,additionalRooms,address,floorNum,facing,agePossesion,nearbyLocation,description,furnishDetails,features,propertyId,flatName,sector
"2 BHK FlatinSector 3, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-godrej-habitat-sector-3-gurgaon-1444-sq-ft-r1-spid-Y78047287,,  Godrej Habitat,1.35,1444.0,1443.0,2 Bedrooms,2 Bathrooms,Study Room,"Godrej Habitat Sector 3, Gurgaon",8th   of 17 Floors,North,0 to 1 Year Old,Huda City Centre Metro Station Star Mall Dwarka Expressway National Highway 8 Gems International School ICFAI University Sneh Hospital Indira Gandhi International Airport Country Inn & Suites by Radisson Appu Ghar Water Park HUDA Mini Golf Course,2bhk semi furnished appartment for sale in godrej habitat at very good price. Location of the project is fantastic.,"['1 Wardrobe', '5 Fan', '5 Light', '4 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",Security  Fire Alarm Feng Shui  Vaastu Compliant Intercom Facility Lift High Ceiling Height Maintenance Staff False Ceiling Lighting Water Storage Separate entry for servant room No open drainage around Piped-gas Visitor Parking Swimming Pool Park Internetwi-fi connectivity Shopping Centre Fitness Centre  GYM Waste Disposal Rain Water Harvesting Club house  Community Center Water softening plant,Y78047287,"2 BHK flat in  Godrej Habitat , Sector 3",3
"3 BHK FlatinSector 102, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1827-sq-ft-spid-B79632505,3.9,  Shapoorji Pallonji Joyville Gurugram,2.5,1827.0,1454.0,3 Bedrooms,3 Bathrooms,"Study Room,Pooja Room,Servant Room","Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",8th   of 26 Floors,East,0 to 1 Year Old,IFFCO Chowk Metro Station The Esplanade Mall by DHOOT GROUP Dwarka Expressway Euro International School The NorthCap University Vibrant Hospital Indira Gandhi International Airport Basai Dhankot Railway Station Hyatt Place Gurgaon Udyog Vihar,"Check out this 3 bhk apartment for sale in shapoorji pallonji joyville gurugram, a popular residential project that houses in-Demand flats in sector 102 gurgaon. This property faces the north-East direction. Constructed on a super built up area of 1852 sq.Ft., the flat comprises 3 bedroom(s), 3 bath...","['1 Fan', '1 Light', '1 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",Lift High Ceiling Height Maintenance Staff False Ceiling Lighting Water Storage Separate entry for servant room Visitor Parking Swimming Pool Park Shopping Centre Fitness Centre  GYM Waste Disposal Club house  Community Center Water softening plant,B79632505,"3 BHK flat in  Shapoorji Pallonji Joyville Gurugram , Sector 102",102
"3 BHK FlatinSector 86, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-skycourt-sector-86-gurgaon-1929-sq-ft-spid-N78678929,,  DLF The Skycourt,2.25,1929.0,1600.0,3 Bedrooms,3 Bathrooms,Others,"DLF The Skycourt Sector 86, Gurgaon",7th   of 19 Floors,West,1 to 5 Year Old,"Sapphire 83 Mall NH-8, Imt Manesar Rao Bharat Singh International School DPG Institute of Technology Aarvy Healthcare Indira Gandhi International Airport Imt Manesar Holiday Inn Hotel Sector 90 Aapno Ghar National Tennis Academy Sector 98",Dlf the skycourt is one of the most popular destination for buying apartments/ flats in sector 86 gurgaon. You too can be a part of this society by purchasing this 3 bhk flat here. This residential flat is west-Facing direction. The flat occupies a super built up area of 1929 sq.Ft. That consists of...,"['3 Wardrobe', '5 Fan', '3 Geyser', '1 Stove', '10 Light', '5 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']",Security  Fire Alarm Power Back-up Feng Shui  Vaastu Compliant Intercom Facility Lift Maintenance Staff Water Storage Piped-gas Visitor Parking Swimming Pool Park Fitness Centre  GYM Club house  Community Center,N78678929,"3 BHK flat in  DLF The Skycourt , Sector 86",86
"4 BHK FlatinSector 86, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-new-town-heights-2-sector-86-gurgaon-2356-sq-ft-spid-V78689569,4.0,  DLF New Town Heights 2,2.5,2356.0,1900.0,4 Bedrooms,4 Bathrooms,,"DLF New Town Heights 2 Sector 86, Gurgaon",6th   of 22 Floors,North,5 to 10 Year Old,City Square Vatika Town Square Bharat Ram Global School Shishu Kalyan School DSD College Amity University ICFAI University Canara Bank ATM Axis Bank ATM Arc Hospital Rathore IMT Hospital Indira Gandhi Airport Yes Bank Canara Bank Patil Station,"This beautiful 4 bhk flat in sector 86 gurgaon is situated in dlf new town heights 2, one of the popular residential society in gurgaon. This is a north-Facing property. The floor plan additionally contains 4 bedroom(s), 4 bathrooms and 3 balconies. All in all, the flat is spread over a super built ...","['3 Wardrobe', '8 Fan', '1 Exhaust Fan', '11 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",Security  Fire Alarm Power Back-up Feng Shui  Vaastu Compliant Intercom Facility Lift Maintenance Staff Water Storage Separate entry for servant room No open drainage around Bank Attached Property Piped-gas Visitor Parking Swimming Pool Park Natural Light Airy Rooms Spacious Interiors Low Density Society Fitness Centre  GYM Waste Disposal Rain Water Harvesting Club house  Community Center,V78689569,"4 BHK flat in  DLF New Town Heights 2 , Sector 86",86
"3 BHK FlatinSector 83, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-palm-gardens-sector-83-gurgaon-1900-sq-ft-spid-M79390393,4.0,  Emaar Palm Gardens,2.65,,1900.0,3 Bedrooms,3 Bathrooms,Servant Room,"Emaar Palm Gardens Sector 83, Gurgaon",7th   of 16 Floors,North,5 to 10 Year Old,Millennium City Centre Gurugram Entertainland Mall NH 48 Gurgaon World School DPG Degree College Gurugram University Park Hospital Indira Gandhi International Airport Garhi Harsaru Junction Unitech Business Park Tau Devi Lal Athletic Stadium,"Located in the popular residential address of sector 83 gurgaon, emaar palm gardens is one of the most preferred destination for apartments in gurgaon. This 3 bhk flat is your ticket to be a part of this community. The flat is facing the north-East direction. The flat is over 1900 sq.Ft. Carpet area...","['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '9 Light', '1 Chimney', '5 AC', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']",Centrally Air Conditioned Water purifier Security  Fire Alarm Power Back-up Feng Shui  Vaastu Compliant Intercom Facility Lift High Ceiling Height Maintenance Staff False Ceiling Lighting Water Storage Separate entry for servant room Bank Attached Property Piped-gas Internetwi-fi connectivity Visitor Parking Swimming Pool Park Security Personnel Natural Light Spacious Interiors Low Density Society Waste Disposal Rain Water Harvesting Water softening plant Shopping Centre Fitness Centre  GYM Club house  Community Center,M79390393,"3 BHK flat in  Emaar Palm Gardens , Sector 83",83
"3 BHK FlatinSector 86, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-microtek-greenburg-sector-86-gurgaon-2285-sq-ft-spid-O80131987,3.8,  Microtek Greenburg,3.55,2285.0,1745.0,3 Bedrooms,4 Bathrooms,Servant Room,"Microtek Greenburg Sector 86, Gurgaon",6th   of 21 Floors,North-West,1 to 5 Year Old,SS Omnia Mall National Highway 8 Dwarka Expressway Sidheshwar School Dronacharya College of Engineering Arc Multi Specialty Hospital Indira Gandhi International Airport IMT Manesar Heritage Village Resort & Spa National Tennis Academy,"This beautiful 3 bhk flat in sector 86 gurgaon is situated in microtek greenburg, one of the popular residential society in gurgaon. This residential flat is north-West-Facing direction. Containing 3 bedroom(s), 4 bathrooms and more than 3 balconies, this flat is spread over a super built up area of...","['4 Fan', '1 Exhaust Fan', '1 Microwave', '5 Light', '2 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",Security  Fire Alarm Power Back-up Feng Shui  Vaastu Compliant Intercom Facility Lift Maintenance Staff Water Storage Visitor Parking Swimming Pool Park Shopping Centre Fitness Centre  GYM Club house  Community Center,O80131987,"3 BHK flat in  Microtek Greenburg , Sector 86",86
"3 BHK FlatinSector 81, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-ultima-sector-81-gurgaon-2103-sq-ft-spid-N79606705,4.2,  DLF The Ultima,3.75,2103.0,1550.0,3 Bedrooms,4 Bathrooms,Servant Room,"DLF The Ultima Sector 81, Gurgaon",7th   of 29 Floors,North,1 to 5 Year Old,"Huda Metro Station (Gurugram) Vatika Town Square-INXT Manesar Road NH 48 Euro International School, Sec 84 SGT University Miracles Apollo Cradle Hospital Indira Gandhi Intl Airport Garhi Harsaru Junction","This beautiful 3 bhk flat in sector 81 gurgaon is situated in dlf the ultima, one of the popular residential society in gurgaon. This residential flat is south-East-Facing direction. Constructed on a super built up area of 2103 sq.Ft., the flat comprises 3 bedroom(s), 4 bathrooms and more than 3 bal...","['1 Fridge', '5 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '6 Light', '5 AC', '1 Chimney', '1 Curtains', '1 Modular Kitchen', '3 Wardrobe', '1 Washing Machine', '1 Microwave', 'No Bed', 'No Dining Table', 'No Sofa', 'No TV', 'No Water Purifier']",Power Back-up Intercom Facility Lift Maintenance Staff Water Storage Separate entry for servant room No open drainage around Recently Renovated Swimming Pool Park Security Personnel Natural Light Airy Rooms Spacious Interiors Low Density Society Shopping Centre Fitness Centre  GYM Waste Disposal Rain Water Harvesting Club house  Community Center Water softening plant,N79606705,"3 BHK flat in  DLF The Ultima , Sector 81",81
"3 BHK FlatinSector 65, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-golfestate-sector-65-gurgaon-4010-sq-ft-spid-Z74002053,4.3,  M3M Golfestate,10.0,4010.0,,3 Bedrooms,4 Bathrooms,"Pooja Room,Study Room,Servant Room,Store Room","M3M Golfestate Sector 65, Gurgaon",14th   of 18 Floors,East,1 to 5 Year Old,Sector 54 Chowk Metro Station Sahara Mall NH 248A Shiksha Bharti Public School Gurugram University Park Hospital Indira Gandhi International Airport Garhi Harsaru Junction Holiday Inn Express Gurugram,"M3m golf estate is located on extension road, sector 65, gurgaon.No one knows golf estate like we do!Golf estate is one of its own kind on a 56 acres land with a golf course. It offers a golf resort style luxury living.Golf estate has 860 units in 3bhk, 4bhk, 5bhk, penthouses configurations wi...","['1 Water Purifier', '1 Fan', '1 Fridge', '1 Stove', '1 Light', '1 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Washing Machine', '1 Microwave', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Sofa', 'No Wardrobe']",Centrally Air Conditioned Water purifier Security  Fire Alarm Feng Shui  Vaastu Compliant Private Garden  Terrace Intercom Facility Lift High Ceiling Height Maintenance Staff False Ceiling Lighting Water Storage Separate entry for servant room No open drainage around Bank Attached Property Piped-gas Internetwi-fi connectivity Recently Renovated Visitor Parking Swimming Pool Park Security Personnel Airy Rooms Spacious Interiors Waste Disposal Rain Water Harvesting Water softening plant Shopping Centre Fitness Centre  GYM Club house  Community Center,Z74002053,"3 BHK flat in  M3M Golfestate , Sector 65",65
"4 BHK FlatinSector 66, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-the-palm-drive-sector-66-gurgaon-4050-sq-ft-spid-W79047127,4.1,  Emaar MGF The Palm Drive,8.0,4050.0,3800.0,4 Bedrooms,5 Bathrooms,"Servant Room,Others,Study Room,Pooja Room","Emaar MGF The Palm Drive Sector 66, Gurgaon",17th   of 17 Floors,North-East,5 to 10 Year Old,Sector 55-56 Rapid Metro Station HUB 66 NH 248A Hasanpur Ashoka International School Gurugram University Park Hospital Indira Gandhi International Airport Sealdah Vatika Business Centre The Oberoi Gurgaon De Adventure Park DLF Golf and Country Club Tau DeviLal Sports Complex,"This 4 bhk apartment is available for sale in emaar mgf the palm drive, one of the most prominent projects for flats in sector 66 gurgaon. The flat is facing the north-East direction. Constructed on a super built up area of 4050 sq.Ft., the flat comprises 4 bedroom(s), 5 bathrooms and 3 balconies. T...","['6 Wardrobe', '10 Fan', '1 Exhaust Fan', '7 Geyser', '1 Microwave', '1 Stove', '20 Light', '1 Chimney', '1 Modular Kitchen', '8 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']",Centrally Air Conditioned Water purifier Security  Fire Alarm Power Back-up Feng Shui  Vaastu Compliant Private Garden  Terrace Intercom Facility Lift High Ceiling Height Maintenance Staff False Ceiling Lighting Water Storage Separate entry for servant room No open drainage around Bank Attached Property Piped-gas Internetwi-fi connectivity Recently Renovated Visitor Parking Swimming Pool Park Security Personnel Natural Light Airy Rooms Spacious Interiors Low Density Society Waste Disposal Rain Water Harvesting Water softening plant Shopping Centre Fitness Centre  GYM Club house  Community Center,W79047127,"4 BHK flat in  Emaar MGF The Palm Drive , Sector 66",66
"4 BHK FlatinSector 104, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ats-triumph-sector-104-gurgaon-3150-sq-ft-spid-Q79669189,3.9,  ATS Triumph,3.68,3150.0,2595.0,4 Bedrooms,4 Bathrooms,Servant Room,"ATS Triumph Sector 104, Gurgaon",10th   of 27 Floors,West,1 to 5 Year Old,IFFCO Chowk Metro Station The Esplanade Mall Dhanwapur Road Dwarka Expressway Govt. PG College Delhi Public School The NorthCap University Shree Krishna Hospital Indira Gandhi International Airport Basai Dhankot The Executive Centre Park Inn Oyster's Water Park DLF Golf and Country Club,"Ats triumph is one of the most popular destination for buying apartments/ flats in sector 104 gurgaon. You too can be a part of this society by purchasing this 4 bhk flat here. This is a east-Facing property. Containing 4 bedroom(s), 4 bathrooms and more than 3 balconies, this flat is spread over a ...","['6 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",Power Back-up Intercom Facility Lift High Ceiling Height Maintenance Staff Piped-gas Swimming Pool Park Security Personnel Shopping Centre Fitness Centre  GYM Rain Water Harvesting Club house  Community Center Water softening plant,Q79669189,"4 BHK flat in  ATS Triumph , Sector 104",104
"2 BHK FlatinSector 65, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-m3m-heights-sector-65-gurgaon-1358-sq-ft-r1-spid-M76435753,3.8,  M3M Heights,2.4,1358.0,1300.0,2 Bedrooms,2 Bathrooms,Pooja Room,"M3M Heights Sector 65, Gurgaon",31st   of 34 Floors,North,1 to 5 Year Old,Rapid Metro Sector 56 M3m 65th Avenue Mall Golf Course Extension Road Gurgaon - Delhi Expy DPS International School DPG Institute of Technology Park Hospital Indira Gandhi International Airport Lemon Tree Hotel SkyJumper Trampoline Park PVR Drive in Theatre,"Situated in sector 65 gurgaon, m3m heights is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in gurgaon is your opportunity to be a part of this community. This residential flat is north-Facing direction. The floor plan additionally contains 2 bedro...","['1 Water Purifier', '4 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '23 Light', '3 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Wardrobe', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']",Power Back-up Intercom Facility Lift Separate entry for servant room No open drainage around Swimming Pool Park Security Personnel Low Density Society Shopping Centre Fitness Centre  GYM Waste Disposal Rain Water Harvesting Club house  Community Center Water softening plant,M76435753,"2 BHK flat in  M3M Heights , Sector 65",65
"3 BHK FlatinSector 102, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-adani-m2k-oyster-grande-sector-102-gurgaon-1889-sq-ft-spid-L79903887,3.9,  Adani M2K Oyster Grande,2.55,1889.0,,3 Bedrooms,3 Bathrooms,Servant Room,"Adani M2K Oyster Grande Sector 102, Gurgaon",7th   of 24 Floors,North,0 to 1 Year Old,The Esplanade Mall Dwarka Express Highway Delhi Public School SGT University The Signature Hospital Indira Gandhi Airport Gurugram Railway Station Nehru Stadium,"Check out this 3 bhk apartment for sale in adani m2k oyster grande, a popular residential project that houses in-Demand flats in sector 102 gurgaon. The flat is facing the north direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 3 balconies. All in all, the flat is spread ...","['5 Wardrobe', '5 Light', '5 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",Intercom Facility Lift High Ceiling Height Maintenance Staff False Ceiling Lighting No open drainage around Swimming Pool Park Security Personnel Shopping Centre Fitness Centre  GYM Rain Water Harvesting Club house  Community Center Water softening plant,L79903887,"3 BHK flat in  Adani M2K Oyster Grande , Sector 102",102
"4 BHK FlatinSector 49, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-orchid-petals-sector-49-gurgaon-2562-sq-ft-spid-J80478685,4.1,  Orchid Petals,4.25,2562.0,2500.0,4 Bedrooms,5 Bathrooms,"Servant Room,Others","Orchid Petals Sector 49, Gurgaon",8th   of 14 Floors,East,5 to 10 Year Old,Sapphire Mall Omaxe City Centre BigBazaar Sohna Rd Kinder Care Playschool Kangaroo Kids Preschool shiv Mandir Polaris Hospital Medanta Hospital Artemis Hospital HDFC Bank Radisson Hotel SRS Cinemas,"This lovely 4 bhk apartment/flat in sector 49 gurgaon is available for sale in one of gurgaon's most popular projects, orchid petals. The flat is east-Facing. The flat occupies a super built up area of 2562 sq.Ft. That consists of 4 bedrooms, 5 bathrooms and 3 balconies. This flat lies on the 8th le...","['4 Wardrobe', '8 Fan', '1 Exhaust Fan', '4 Geyser', '15 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",Centrally Air Conditioned Water purifier Security  Fire Alarm Power Back-up Feng Shui  Vaastu Compliant Private Garden  Terrace Intercom Facility Lift High Ceiling Height Maintenance Staff False Ceiling Lighting Water Storage Separate entry for servant room No open drainage around Bank Attached Property Piped-gas Internetwi-fi connectivity Recently Renovated Visitor Parking Swimming Pool Park Security Personnel Natural Light Airy Rooms Spacious Interiors Low Density Society Waste Disposal Rain Water Harvesting Water softening plant Shopping Centre Fitness Centre  GYM Club house  Community Center,J80478685,"4 BHK flat in  Orchid Petals , Sector 49",49
"3 BHK FlatinSector 82, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-independent-floors-sector-82-gurgaon-1500-sq-ft-spid-L78171367,3.8,  Vatika Independent Floors,1.7,,1500.0,3 Bedrooms,3 Bathrooms,,"Vatika Independent Floors Sector 82, Gurgaon",1st   of 2 Floors,North-West,5 to 10 Year Old,"Sapphire 83 Mall Delhi Jaipur Expressway Dwarka Expressway Link Road Vivek Model School Singhania University, Manesar Miracles Apollo Cradle/Spectra Hospital Hyatt Regency Gurgaon McDonald's India 24 Hours","Semi furnished, park facing, corner unit with plc and occupation certificate
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
The society has dedicated security guar...","['3 Wardrobe', '5 Fan', '2 Geyser', '8 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",Power Back-up Intercom Facility High Ceiling Height Maintenance Staff No open drainage around Piped-gas Swimming Pool Park Security Personnel Shopping Centre Fitness Centre  GYM Waste Disposal Rain Water Harvesting Club house  Community Center Water softening plant,L78171367,"3 BHK flat in  Vatika Independent Floors , Sector 82",82
"3 BHK FlatinSector 49, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-orchid-petals-sector-49-gurgaon-1805-sq-ft-r1-spid-D76450081,4.1,  Orchid Petals,3.1,1805.0,1800.0,3 Bedrooms,3 Bathrooms,,"Orchid Petals Sector 49, Gurgaon",7th   of 14 Floors,South,5 to 10 Year Old,Sapphire Mall Omaxe City Centre BigBazaar Sohna Rd Kinder Care Playschool Kangaroo Kids Preschool shiv Mandir Polaris Hospital Medanta Hospital Artemis Hospital HDFC Bank Radisson Hotel SRS Cinemas,"This flat is proper pool and park facing .This beautiful 3 bhk flat in sector 49 gurgaon is situated in orchid petals, one of the popular residential society in gurgaon. Constructed on a super built up area of 1805 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 3 balconies. The flat has a ...","['3 Wardrobe', '5 Fan', '3 Geyser', '9 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",Security  Fire Alarm Feng Shui  Vaastu Compliant Intercom Facility Lift High Ceiling Height Maintenance Staff Water Storage Separate entry for servant room Recently Renovated Piped-gas Visitor Parking Swimming Pool Park Security Personnel Natural Light Internetwi-fi connectivity Shopping Centre Fitness Centre  GYM Waste Disposal Rain Water Harvesting Club house  Community Center Water softening plant,D76450081,"3 BHK flat in  Orchid Petals , Sector 49",49
"2 BHK FlatinSector 62, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-emaar-digihomes-sector-62-gurgaon-1508-sq-ft-spid-Y80079831,3.8,  Emaar Digihomes,3.3,1508.26,802.59,2 Bedrooms,2 Bathrooms,,"Emaar Digihomes Sector 62, Gurgaon",8th   of 32 Floors,East,1 to 5 Year Old,Paras Trinity Mall Badshahpur Sohna Road Highway Heritage Xperiential Learning School ICFAI Business School (IBS) Gurugram University Marengo Asia Hospitals Indira Gandhi International Airport Gurgaon Railway Station AIPL Business Club Lemon Tree Hotel Sector 55-56 Metro Station Surajgarh Gurgaon Powered By Toddy TERI Golf Course Tau DeviLal Sports Complex,"This 2 bhk apartment is available for sale in emaar digihomes, one of the most prominent projects for flats in sector 62 gurgaon. This residential flat is east-Facing direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a supe...","['4 Wardrobe', '3 Fan', '1 Exhaust Fan', '3 Geyser', '9 Light', '4 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",Feng Shui  Vaastu Compliant Security  Fire Alarm Intercom Facility Lift Swimming Pool Maintenance Staff Water Storage Park Visitor Parking Fitness Centre  GYM Club house  Community Center,Y80079831,"2 BHK flat in  Emaar Digihomes , Sector 62",62
"5 BHK FlatinSector 53, Gurgaon",https://www.99acres.com/5-bhk-bedroom-apartment-flat-for-sale-in-tulip-monsella-sector-53-gurgaon-7368-sq-ft-spid-D80605457,4.2,  Tulip Monsella,27.26,7368.0,,5 Bedrooms,7 Bathrooms,"Pooja Room,Study Room,Servant Room,Store Room","Tulip Monsella Sector 53, Gurgaon",35th   of 36 Floors,,1 to 5 Year Old,"Sector 53-54 Metro Station Central Plaza Mall The Big Tree Cafe IILM University, Gurugram The Banyan Tree World School Sanar International Hospital DLF Golf and Country Club Mavens Inn DoubleTree by Hilton Hotel","This lovely 5 bhk triplex penthouse in sector 53 gurgaon is available for sale in one of gurgaon's most popular projects, tulip monsella. The flat occupies a super built up area of 7368 sq.Ft. That consists of 5 bedrooms, 7 bathrooms and more than 3 balconies. This flat is situated on the 35th floor...","['1 Water Purifier', '1 Fridge', '1 Exhaust Fan', '1 Washing Machine', '1 Stove', '1 Microwave', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Sofa', 'No TV', 'No Wardrobe']",Centrally Air Conditioned Water purifier Security  Fire Alarm Feng Shui  Vaastu Compliant Private Garden  Terrace Intercom Facility Lift High Ceiling Height Maintenance Staff False Ceiling Lighting Water Storage Separate entry for servant room No open drainage around Bank Attached Property Piped-gas Internetwi-fi connectivity Recently Renovated Visitor Parking Swimming Pool Park Security Personnel Natural Light Airy Rooms Spacious Interiors Low Density Society Waste Disposal Rain Water Harvesting Water softening plant Shopping Centre Fitness Centre  GYM Club house  Community Center,D80605457,"5 BHK flat in  Tulip Monsella , Sector 53",53
"4 BHK FlatinSector 67, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-m3m-merlin-sector-67-gurgaon-3154-sq-ft-spid-I78694219,3.8,  M3M Merl,6.19,3154.0,2100.0,4 Bedrooms,4 Bathrooms,Servant Room,"M3M Merlin Sector 67, Gurgaon",5th   of 21 Floors,South,1 to 5 Year Old,"Airia Mall Golf Course Extension Road Alpine Convent School DPG Institute of Technology MKD Hospital Indira Gandhi International Airport Lemon Tree Hotel, Sohna Road SkyJumper Trampoline Park DLF Golf and Country Club PVR Drive in Theatre",We have fresh inventory in m3m merlin give us an opportunity to serve you,"['3 Wardrobe', '3 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",Power Back-up Feng Shui  Vaastu Compliant Intercom Facility Lift Swimming Pool Maintenance Staff Park Security Personnel Internetwi-fi connectivity Shopping Centre Fitness Centre  GYM Club house  Community Center,I78694219,"4 BHK flat in  M3M Merl , Sector 67",67
